Age,sport_engagement,Gender,CGPA,academic_workload,Academic_pressure,Anxiety,average_sleep,Diet_Quality,Social_relationships,Financial_pressure,Extracurricular_Involvement,Residence_Type,current_academic_year
22,4,Female,3.66,3,4,3,7-8hrs,3,3,2,3,Off-Campus,4
28,1,Male,3.78,3,1,2,4-6hrs,3,5,4,3,With Family,1
35,1,Male,3.51,2,3,2,7-8hrs,3,3,5,3,On-Campus,3
29,1,Female,3.46,2,1,1,4-6hrs,3,1,3,3,Off-Campus,1
18,1,Male,3.23,5,3,4,4-6hrs,1,3,1,1,With Family,3
19,2,Female,3.35,3,2,2,4-6hrs,5,5,1,5,With Family,2
26,1,Female,3.76,4,3,3,1-3hrs,3,3,4,1,On-Campus,3
18,2,Male,3.5,4,2,2,4-6hrs,1,5,1,1,On-Campus,2
18,1,Male,3.68,2,3,3,7-8hrs,5,3,1,1,With Family,2
18,4,Female,3.52,3,4,3,7-8hrs,3,3,5,1,With Family,4
28,1,Male,3.39,2,1,1,7-8hrs,3,1,2,3,Off-Campus,1
26,4,Male,3.86,4,4,2,4-6hrs,5,1,4,1,Off-Campus,4
27,4,Female,3.8,5,4,4,7-8hrs,1,1,0,3,Off-Campus,4
23,1,Male,3.48,3,3,4,7-8hrs,3,1,3,5,Off-Campus,2
20,1,Female,3.17,4,3,2,7-8hrs,3,3,2,3,With Family,3
28,5,Male,3.65,5,5,1,7-8hrs,3,5,3,1,Off-Campus,5
23,1,Female,3.42,2,3,2,7-8hrs,3,1,2,3,Off-Campus,3
29,4,Male,3.73,1,4,1,4-6hrs,3,1,2,3,On-Campus,4
22,4,Female,3.48,5,4,3,4-6hrs,5,1,0,3,On-Campus,4
23,1,Female,3.73,2,3,3,4-6hrs,1,1,4,1,With Family,2
25,1,Female,3.82,2,1,1,7-8hrs,3,5,0,3,With Family,1
18,5,Female,3.6,1,5,1,4-6hrs,3,3,3,1,On-Campus,5
19,4,Female,3.27,5,4,1,1-3hrs,1,3,2,1,Off-Campus,4
24,1,Female,3.43,4,3,2,7-8hrs,3,3,2,3,On-Campus,3
20,1,Male,3.76,5,1,2,4-6hrs,1,3,4,3,With Family,1
30,1,Male,3.54,4,1,1,4-6hrs,5,5,4,3,With Family,1
35,1,Male,3.3,5,3,4,4-6hrs,5,3,0,3,On-Campus,2
18,4,Male,3.78,4,4,2,7-8hrs,3,5,2,5,Off-Campus,4
19,1,Male,3.77,2,1,3,7-8hrs,3,3,4,1,On-Campus,1
19,1,Male,4,2,1,1,7-8hrs,3,5,1,1,On-Campus,1
25,1,Male,3.55,3,3,2,7-8hrs,3,3,3,3,Off-Campus,3
21,1,Female,2.94,3,3,1,7-8hrs,3,1,2,3,Off-Campus,2
19,5,Male,3.44,4,5,4,1-3hrs,3,5,2,1,With Family,5
18,1,Female,4,5,1,4,7-8hrs,5,5,1,3,On-Campus,1
22,5,Male,3.38,4,5,1,7-8hrs,1,3,0,1,Off-Campus,5
21,1,Male,3.71,2,3,1,4-6hrs,3,5,2,3,Off-Campus,2
18,4,Female,3.48,3,4,1,4-6hrs,3,3,5,3,On-Campus,4
25,1,Male,3.2,1,3,1,1-3hrs,5,1,4,5,Off-Campus,2
27,1,Male,3.32,1,3,1,7-8hrs,3,1,1,1,Off-Campus,3
18,5,Female,3.61,3,5,2,4-6hrs,3,5,0,3,Off-Campus,5
20,1,Female,3.77,1,3,3,7-8hrs,3,3,3,3,Off-Campus,2
24,2,Female,3.21,1,2,2,4-6hrs,5,3,4,3,With Family,2
23,1,Male,3.58,4,3,5,7-8hrs,1,3,2,1,On-Campus,2
24,1,Male,3.47,4,3,1,7-8hrs,5,1,3,3,Off-Campus,2
23,5,Male,3.41,3,5,1,7-8hrs,1,5,3,3,Off-Campus,5
21,1,Female,3.73,5,3,1,7-8hrs,1,5,3,3,With Family,3
22,4,Female,3.89,1,4,2,7-8hrs,3,5,4,1,On-Campus,4
22,1,Female,3.63,5,3,3,7-8hrs,3,1,1,1,Off-Campus,2
22,1,Male,3.11,4,1,3,1-3hrs,3,1,0,3,Off-Campus,1
28,1,Female,4,4,3,3,7-8hrs,3,3,1,1,Off-Campus,3
24,4,Female,3.21,3,4,1,1-3hrs,3,3,0,3,On-Campus,4
21,5,Female,3.76,4,5,1,4-6hrs,3,3,3,3,Off-Campus,5
21,1,Male,3.36,4,3,1,1-3hrs,3,1,1,3,On-Campus,3
19,5,Female,3.47,3,5,2,7-8hrs,3,5,2,3,Off-Campus,5
22,1,Male,3.23,2,3,5,7-8hrs,1,3,1,1,On-Campus,3
18,1,Male,3.4,2,3,1,4-6hrs,1,3,1,3,On-Campus,3
34,1,Female,3.95,5,1,1,4-6hrs,1,1,0,5,Off-Campus,1
26,2,Male,3.51,2,2,1,4-6hrs,3,3,4,1,With Family,2
18,2,Male,3.91,5,2,2,7-8hrs,1,5,4,1,With Family,2
19,1,Female,3.95,4,3,3,7-8hrs,1,5,3,1,With Family,3
18,4,Female,3.5,4,4,3,4-6hrs,3,3,5,5,On-Campus,4
21,1,Female,3.62,2,3,3,7-8hrs,3,3,2,3,Off-Campus,3
18,4,Male,3.42,1,4,1,4-6hrs,3,3,1,1,Off-Campus,4
23,1,Female,2.68,1,3,2,7-8hrs,3,5,2,5,With Family,3
21,1,Female,3.59,3,3,4,7-8hrs,3,1,2,3,Off-Campus,3
23,1,Male,3.32,2,3,1,1-3hrs,1,3,0,3,On-Campus,2
23,1,Female,3.87,4,3,1,4-6hrs,3,3,0,5,On-Campus,2
22,5,Male,3.6,5,5,5,7-8hrs,3,3,0,3,Off-Campus,5
26,4,Female,3.56,1,4,3,7-8hrs,3,3,0,3,On-Campus,4
25,2,Male,3.94,4,2,1,4-6hrs,1,5,4,1,With Family,2
26,2,Male,3.56,1,2,3,7-8hrs,1,5,5,1,Off-Campus,2
20,1,Male,3.58,5,3,2,7-8hrs,3,3,2,3,Off-Campus,2
27,5,Male,3.46,2,5,1,7-8hrs,3,1,0,5,Off-Campus,5
19,1,Male,3.32,4,1,1,4-6hrs,1,3,4,3,On-Campus,1
20,1,Male,3.52,3,1,2,7-8hrs,3,3,0,3,On-Campus,1
30,4,Female,3.06,4,4,1,4-6hrs,5,5,0,1,With Family,4
22,1,Male,3.19,2,1,5,4-6hrs,3,3,1,1,With Family,1
18,5,Female,4,5,5,3,4-6hrs,1,5,3,5,Off-Campus,5
21,4,Male,3.41,5,4,2,4-6hrs,5,5,5,3,Off-Campus,4
19,1,Female,3.76,2,3,3,7-8hrs,3,1,0,3,Off-Campus,2
22,1,Male,3.86,2,3,1,1-3hrs,3,3,1,3,Off-Campus,2
18,2,Male,3.76,3,2,3,7-8hrs,3,5,3,1,On-Campus,2
22,1,Female,2.95,3,3,2,4-6hrs,3,3,3,3,Off-Campus,3
20,5,Female,3.61,3,5,5,7-8hrs,1,3,2,3,With Family,5
19,1,Male,3.53,4,3,1,7-8hrs,3,1,4,3,With Family,3
26,1,Female,3.5,5,1,1,7-8hrs,3,5,3,1,Off-Campus,1
24,2,Female,2.94,4,2,4,4-6hrs,3,5,2,3,On-Campus,2
25,1,Male,3.53,3,3,3,7-8hrs,3,5,5,3,Off-Campus,3
19,1,Female,3.4,3,1,2,4-6hrs,5,5,3,3,On-Campus,1
21,1,Female,3.62,1,3,3,7-8hrs,3,3,3,3,On-Campus,2
29,1,Male,3.27,3,3,1,4-6hrs,3,5,0,1,With Family,2
28,1,Male,3.25,4,3,1,7-8hrs,5,3,1,3,With Family,3
24,4,Male,3.63,2,4,1,4-6hrs,3,5,0,3,Off-Campus,4
26,1,Male,3.41,3,1,1,7-8hrs,3,3,5,5,On-Campus,1
22,2,Female,3.66,2,2,3,7-8hrs,3,5,5,3,Off-Campus,2
26,5,Male,2.87,3,5,3,4-6hrs,1,5,5,5,Off-Campus,5
18,2,Male,4,5,2,1,7-8hrs,3,3,3,3,With Family,2
20,4,Female,3.4,1,4,5,7-8hrs,3,3,2,1,Off-Campus,4
21,4,Female,3.48,3,4,2,7-8hrs,3,3,5,3,On-Campus,4
21,1,Female,3.5,2,1,3,7-8hrs,1,1,4,5,Off-Campus,1
19,5,Male,3.13,4,5,2,7-8hrs,3,5,2,3,Off-Campus,5
27,1,Female,3.13,5,3,1,4-6hrs,1,3,2,3,With Family,3
28,1,Female,3.67,1,3,3,7-8hrs,5,3,2,3,On-Campus,3
18,1,Male,3.91,1,3,2,7-8hrs,3,3,2,3,On-Campus,3
19,1,Female,3.69,1,1,4,7-8hrs,5,1,3,5,Off-Campus,1
18,1,Male,3.66,5,3,1,7-8hrs,3,3,0,5,Off-Campus,3
25,2,Male,3.34,5,2,3,7-8hrs,1,5,4,5,Off-Campus,2
23,1,Female,3.84,2,3,1,4-6hrs,5,3,0,3,Off-Campus,2
21,2,Female,3.19,5,2,1,4-6hrs,5,3,1,1,With Family,2
21,1,Male,3.19,2,1,2,7-8hrs,1,1,1,3,Off-Campus,1
25,2,Female,3.64,5,2,1,7-8hrs,3,5,0,1,On-Campus,2
31,1,Male,3.59,5,3,1,7-8hrs,1,3,1,3,Off-Campus,2
21,2,Female,3.89,4,2,1,7-8hrs,5,5,0,3,On-Campus,2
20,5,Male,3.27,2,5,1,7-8hrs,5,1,2,3,On-Campus,5
18,1,Male,3.49,3,3,2,4-6hrs,3,3,4,5,Off-Campus,3
31,4,Female,3.58,2,4,1,4-6hrs,5,5,1,5,On-Campus,4
21,4,Female,3.52,2,4,1,7-8hrs,5,3,0,1,Off-Campus,4
23,2,Female,3.45,2,2,2,1-3hrs,3,3,0,3,Off-Campus,2
24,1,Male,3.72,5,3,1,4-6hrs,3,5,4,3,With Family,3
23,1,Male,3.37,5,3,5,4-6hrs,3,3,1,3,Off-Campus,2
21,4,Male,2.93,4,4,1,1-3hrs,5,5,1,3,On-Campus,4
31,2,Female,3.72,4,2,1,7-8hrs,3,5,3,1,On-Campus,2
23,1,Female,3.42,2,3,1,4-6hrs,3,3,5,3,Off-Campus,2
22,5,Female,3.56,4,5,4,7-8hrs,3,3,0,5,On-Campus,5
21,2,Male,3.56,5,2,2,7-8hrs,3,3,2,3,Off-Campus,2
22,4,Female,3.51,5,4,4,7-8hrs,3,5,0,3,With Family,4
20,1,Female,3.75,4,3,2,7-8hrs,3,5,2,3,With Family,3
19,2,Male,3.59,4,2,1,7-8hrs,3,5,3,1,Off-Campus,2
20,1,Female,3.4,3,3,1,4-6hrs,3,1,0,3,Off-Campus,3
23,1,Female,3.76,3,1,2,4-6hrs,1,3,5,5,On-Campus,1
19,1,Male,3.26,1,3,5,7-8hrs,3,5,2,5,On-Campus,2
26,1,Male,3.22,5,3,5,7-8hrs,3,3,0,5,With Family,3
21,1,Male,3.16,3,3,4,4-6hrs,1,1,4,3,Off-Campus,2
25,4,Male,3.37,1,4,1,7-8hrs,3,5,5,1,On-Campus,4
20,1,Female,3.29,2,1,4,4-6hrs,1,3,4,1,On-Campus,1
22,4,Male,3.82,3,4,4,4-6hrs,1,5,5,3,On-Campus,4
18,1,Female,3.36,4,3,5,7-8hrs,3,3,0,3,On-Campus,3
22,1,Male,3.46,4,3,2,7-8hrs,5,1,5,3,With Family,2
19,2,Male,3.73,4,2,2,7-8hrs,3,5,3,3,Off-Campus,2
29,1,Male,3.8,4,1,1,7-8hrs,3,1,5,1,On-Campus,1
28,4,Male,3.08,2,4,2,4-6hrs,1,3,3,1,On-Campus,4
21,1,Female,3.62,4,3,5,7-8hrs,1,3,3,5,With Family,2
19,1,Male,3.74,4,1,4,7-8hrs,3,1,4,3,With Family,1
21,2,Male,3.37,3,2,3,7-8hrs,1,3,4,3,Off-Campus,2
24,1,Male,3.75,5,3,1,1-3hrs,3,3,4,1,On-Campus,3
23,5,Male,3.59,3,5,4,7-8hrs,3,5,4,3,On-Campus,5
18,1,Female,3.71,5,3,1,7-8hrs,3,3,3,1,On-Campus,3
23,1,Male,3.66,4,1,3,7-8hrs,3,3,4,3,With Family,1
19,1,Male,3.1,1,3,3,7-8hrs,3,5,5,3,Off-Campus,2
21,1,Male,3.4,5,1,5,4-6hrs,1,3,1,3,Off-Campus,1
23,4,Female,3.64,5,4,4,1-3hrs,1,3,4,1,Off-Campus,4
21,1,Male,3.44,5,3,5,7-8hrs,3,3,5,1,Off-Campus,3
27,2,Male,3.51,5,2,3,7-8hrs,3,1,3,3,On-Campus,2
25,1,Female,3.62,2,1,2,4-6hrs,3,3,1,3,With Family,1
18,2,Female,3.42,4,2,1,7-8hrs,3,1,4,3,With Family,2
26,4,Female,3.87,4,4,2,4-6hrs,5,3,3,3,On-Campus,4
22,1,Male,3.25,4,3,1,4-6hrs,3,3,2,3,On-Campus,3
23,1,Male,2.98,4,3,1,7-8hrs,3,3,3,1,On-Campus,3
20,1,Female,4,4,3,3,4-6hrs,5,3,2,3,Off-Campus,3
22,4,Male,3.65,1,4,3,7-8hrs,3,3,0,5,Off-Campus,4
23,4,Male,2.98,1,4,1,4-6hrs,5,3,3,3,Off-Campus,4
20,2,Male,3.69,3,2,3,4-6hrs,3,1,0,3,Off-Campus,2
25,2,Male,3.93,3,2,1,7-8hrs,5,5,1,3,Off-Campus,2
18,1,Female,3.74,1,3,5,4-6hrs,1,1,4,3,On-Campus,2
21,4,Female,3.51,2,4,1,7-8hrs,1,5,5,3,On-Campus,4
20,2,Female,3.23,3,2,1,7-8hrs,3,3,3,3,Off-Campus,2
30,1,Male,3.94,4,1,2,4-6hrs,3,3,1,5,Off-Campus,1
20,5,Male,3.42,5,5,1,1-3hrs,5,3,1,3,Off-Campus,5
18,4,Female,3.61,4,4,4,4-6hrs,1,5,1,3,On-Campus,4
22,1,Female,3.91,1,3,2,7-8hrs,3,1,0,3,Off-Campus,3
22,1,Female,3.2,3,3,1,7-8hrs,1,5,3,1,Off-Campus,3
24,4,Female,3.43,1,4,3,4-6hrs,1,3,2,1,On-Campus,4
20,2,Male,3.4,4,2,1,7-8hrs,3,5,5,3,On-Campus,2
18,1,Female,2.96,1,1,4,4-6hrs,3,3,5,1,On-Campus,1
28,1,Female,3.64,4,3,1,7-8hrs,1,5,3,5,On-Campus,3
26,4,Male,2.9,4,4,2,7-8hrs,3,3,5,3,On-Campus,4
24,2,Male,3.85,1,2,3,4-6hrs,3,3,0,3,On-Campus,2
24,1,Female,3.63,1,1,5,7-8hrs,3,5,3,3,Off-Campus,1
20,1,Female,3.57,2,3,1,4-6hrs,5,5,1,3,On-Campus,3
20,1,Female,3.45,5,3,2,7-8hrs,5,5,4,3,Off-Campus,2
19,5,Female,3.81,1,5,3,4-6hrs,5,1,3,5,With Family,5
21,1,Female,3.79,2,3,5,7-8hrs,1,3,4,3,Off-Campus,3
27,4,Female,3.6,2,4,1,1-3hrs,3,3,1,3,Off-Campus,4
20,1,Male,3.06,5,3,3,4-6hrs,1,5,1,3,Off-Campus,3
22,1,Male,3.95,4,3,4,7-8hrs,3,5,5,5,With Family,3
18,2,Male,3.97,1,2,5,1-3hrs,3,3,3,3,With Family,2
19,1,Female,3.28,1,1,3,7-8hrs,5,5,1,3,Off-Campus,1
19,1,Male,3.09,5,3,3,7-8hrs,5,3,5,3,On-Campus,3
25,1,Male,3.44,5,3,4,7-8hrs,3,3,4,3,With Family,2
18,1,Female,3.12,3,3,2,4-6hrs,3,3,5,3,On-Campus,3
29,5,Female,3.84,4,5,1,4-6hrs,1,1,2,5,With Family,5
19,5,Female,3.97,2,5,2,1-3hrs,3,3,1,5,With Family,5
21,1,Male,3.48,1,3,5,7-8hrs,3,5,4,3,Off-Campus,3
19,1,Female,4,5,3,1,4-6hrs,3,5,4,3,With Family,2
26,4,Female,3.27,2,4,2,4-6hrs,3,5,2,1,With Family,4
24,4,Male,3.57,2,4,4,7-8hrs,3,5,5,3,On-Campus,4
25,1,Female,3.26,4,3,1,7-8hrs,1,5,3,5,On-Campus,3
35,1,Male,3.76,5,1,1,4-6hrs,3,3,5,3,On-Campus,1
19,1,Male,3.43,4,3,3,4-6hrs,1,3,0,3,Off-Campus,3
28,1,Male,3.76,2,3,1,4-6hrs,3,3,5,3,Off-Campus,3
23,1,Male,3.44,4,3,5,4-6hrs,5,3,4,3,On-Campus,3
29,1,Female,3.64,2,3,1,7-8hrs,3,3,3,3,On-Campus,3
18,5,Female,3.14,1,5,1,7-8hrs,1,1,3,3,Off-Campus,5
19,1,Female,3.87,2,3,4,7-8hrs,3,3,2,3,Off-Campus,3
22,1,Female,3.55,3,1,2,7-8hrs,1,3,4,5,On-Campus,1
19,4,Male,3.85,2,4,2,1-3hrs,3,3,3,3,With Family,4
23,2,Female,3.76,1,2,3,4-6hrs,5,3,0,1,Off-Campus,2
20,1,Male,3.97,4,3,4,1-3hrs,3,1,4,1,On-Campus,3
18,1,Female,3.48,5,3,1,7-8hrs,3,3,0,1,With Family,2
18,2,Male,3.86,2,2,4,4-6hrs,3,5,1,5,On-Campus,2
34,1,Female,3.6,5,3,1,7-8hrs,5,5,5,3,On-Campus,2
19,4,Female,3.1,2,4,5,4-6hrs,3,5,2,3,Off-Campus,4
18,1,Female,3.96,3,1,1,4-6hrs,3,5,4,3,Off-Campus,1
20,1,Female,3.23,5,3,2,4-6hrs,5,5,2,1,With Family,2
24,1,Female,3.86,4,1,4,4-6hrs,5,3,4,3,With Family,1
21,1,Female,3.63,3,3,5,4-6hrs,3,1,3,3,On-Campus,2
26,1,Male,3.67,3,3,1,7-8hrs,3,1,0,3,On-Campus,2
24,4,Female,3.92,2,4,5,4-6hrs,3,3,4,3,On-Campus,4
20,1,Male,3.29,3,3,1,4-6hrs,3,3,5,5,On-Campus,2
25,1,Female,3.71,2,3,4,4-6hrs,3,3,3,1,With Family,2
26,1,Female,3.17,4,1,5,7-8hrs,3,3,3,3,On-Campus,1
26,5,Female,3.48,5,5,3,4-6hrs,5,5,3,1,Off-Campus,5
26,1,Male,3.37,4,3,1,1-3hrs,1,3,5,3,On-Campus,3
28,5,Male,3.24,4,5,3,7-8hrs,3,3,2,1,On-Campus,5
19,1,Male,3.33,3,1,1,4-6hrs,3,5,4,5,Off-Campus,1
27,5,Male,3.77,4,5,5,4-6hrs,3,5,3,5,On-Campus,5
22,2,Male,4,3,2,1,4-6hrs,5,3,0,5,On-Campus,2
21,1,Female,3.76,1,3,1,4-6hrs,1,1,4,3,With Family,2
27,2,Male,2.96,3,2,5,7-8hrs,1,1,3,3,On-Campus,2
19,5,Male,3.49,1,5,5,7-8hrs,3,3,4,1,Off-Campus,5
26,5,Female,3.98,3,5,4,1-3hrs,3,3,0,5,On-Campus,5
24,1,Male,3.51,2,3,2,4-6hrs,1,3,3,3,With Family,2
19,1,Female,3.72,5,1,1,7-8hrs,5,1,5,5,With Family,1
28,4,Female,3.51,5,4,3,1-3hrs,3,3,5,5,Off-Campus,4
18,1,Male,3.57,5,3,3,4-6hrs,3,1,3,3,On-Campus,2
21,1,Female,3.67,4,1,1,4-6hrs,5,1,2,3,On-Campus,1
29,1,Male,4,2,3,3,1-3hrs,3,1,3,3,Off-Campus,3
18,1,Female,3.21,3,1,2,4-6hrs,5,3,3,1,With Family,1
19,2,Female,3.63,4,2,4,7-8hrs,1,3,3,5,With Family,2
26,4,Female,3.68,4,4,3,4-6hrs,5,3,3,1,On-Campus,4
18,5,Male,3.65,2,5,5,4-6hrs,5,3,2,3,Off-Campus,5
18,1,Male,3.74,4,3,1,7-8hrs,1,3,5,5,Off-Campus,2
19,4,Male,3.27,2,4,1,4-6hrs,1,5,0,3,Off-Campus,4
22,1,Male,2.91,5,1,2,4-6hrs,3,1,1,5,On-Campus,1
24,5,Male,3.72,4,5,2,4-6hrs,1,1,2,3,Off-Campus,5
20,1,Male,4,1,3,3,1-3hrs,3,1,3,3,Off-Campus,3
24,2,Male,3.89,4,2,2,4-6hrs,3,1,5,5,On-Campus,2
21,5,Female,3.4,2,5,1,7-8hrs,3,3,2,3,On-Campus,5
30,1,Female,3.87,5,1,2,4-6hrs,3,3,2,5,Off-Campus,1
18,2,Male,3.63,3,2,2,7-8hrs,3,1,5,3,With Family,2
23,1,Female,3.37,4,3,1,4-6hrs,3,1,1,5,Off-Campus,3
23,2,Male,3.83,1,2,5,4-6hrs,1,3,4,5,On-Campus,2
18,2,Male,3.1,2,2,2,1-3hrs,5,3,5,3,On-Campus,2
19,1,Male,3.5,4,3,1,1-3hrs,3,3,3,3,Off-Campus,3
20,5,Female,3.48,4,5,1,4-6hrs,3,1,2,1,On-Campus,5
28,5,Female,3.88,3,5,3,7-8hrs,5,5,0,5,On-Campus,5
20,1,Male,4,5,3,1,4-6hrs,1,5,3,1,With Family,3
22,5,Male,4,2,5,2,1-3hrs,1,3,4,1,On-Campus,5
25,5,Female,3.22,3,5,1,4-6hrs,5,5,5,1,On-Campus,5
19,1,Female,4,3,3,1,7-8hrs,3,1,0,1,Off-Campus,3
21,1,Male,3.7,2,3,1,7-8hrs,5,3,2,3,Off-Campus,2
21,1,Male,3.27,2,1,3,7-8hrs,3,3,5,3,Off-Campus,1
19,2,Female,3.27,2,2,5,7-8hrs,3,1,0,5,Off-Campus,2
18,2,Female,4,4,2,1,7-8hrs,3,3,1,3,Off-Campus,2
24,4,Male,3.43,2,4,4,7-8hrs,5,3,4,1,With Family,4
19,1,Female,3.5,4,3,1,7-8hrs,3,3,0,3,On-Campus,2
23,1,Female,3.67,4,1,1,7-8hrs,3,5,0,3,On-Campus,1
20,2,Female,3.45,4,2,1,4-6hrs,3,3,3,3,On-Campus,2
19,1,Male,3.63,1,3,1,7-8hrs,5,3,3,1,On-Campus,2
20,2,Male,3.65,5,2,1,4-6hrs,5,1,1,5,On-Campus,2
29,4,Male,3.8,5,4,2,4-6hrs,1,1,2,3,On-Campus,4
27,1,Male,4,3,3,5,4-6hrs,1,3,1,3,On-Campus,3
19,4,Male,3.63,2,4,3,1-3hrs,3,3,3,3,With Family,4
18,1,Female,3.9,3,3,1,7-8hrs,3,1,4,1,Off-Campus,3
23,1,Female,3.28,2,3,3,7-8hrs,1,5,0,1,With Family,2
25,2,Male,3.2,4,2,1,1-3hrs,5,5,4,1,With Family,2
26,4,Female,2.97,4,4,4,4-6hrs,3,3,2,3,On-Campus,4
21,1,Female,3.81,2,3,1,4-6hrs,3,1,3,3,On-Campus,2
29,1,Male,3.27,1,1,1,7-8hrs,1,3,1,3,Off-Campus,1
22,1,Female,2.86,4,3,3,4-6hrs,3,3,4,3,On-Campus,3
22,4,Male,3.9,2,4,2,7-8hrs,1,3,3,1,On-Campus,4
24,2,Male,2.92,2,2,4,7-8hrs,5,3,3,3,On-Campus,2
19,1,Female,3.51,4,3,2,7-8hrs,5,3,3,3,On-Campus,3
22,1,Female,3.24,4,1,4,7-8hrs,3,5,5,3,On-Campus,1
27,1,Female,3.21,3,3,5,4-6hrs,3,3,1,1,Off-Campus,3
27,1,Female,3.96,2,3,3,7-8hrs,3,3,2,5,On-Campus,2
18,1,Female,3.62,4,1,3,7-8hrs,1,1,0,3,With Family,1
25,1,Male,3.28,2,1,3,4-6hrs,1,3,2,1,With Family,1
21,1,Female,3.42,4,1,1,7-8hrs,1,1,5,1,On-Campus,1
25,2,Male,3.69,1,2,3,7-8hrs,3,5,0,3,On-Campus,2
19,4,Male,3.21,2,4,5,7-8hrs,3,3,2,5,Off-Campus,4
21,5,Male,3.55,5,5,1,7-8hrs,5,5,2,1,On-Campus,5
21,4,Male,3.49,4,4,3,7-8hrs,3,5,2,3,On-Campus,4
27,1,Male,3.97,2,3,4,7-8hrs,5,3,5,3,On-Campus,3
22,1,Male,3.47,4,3,1,1-3hrs,5,3,3,5,Off-Campus,3
19,1,Female,3.54,1,3,1,1-3hrs,3,3,2,1,Off-Campus,2
22,5,Male,3.63,5,5,5,4-6hrs,3,5,4,1,Off-Campus,5
21,1,Male,3.09,2,3,1,7-8hrs,3,3,2,1,On-Campus,3
20,1,Female,3.47,1,3,1,1-3hrs,3,3,5,3,On-Campus,2
20,1,Male,3.67,2,3,4,7-8hrs,5,5,2,1,Off-Campus,3
23,2,Male,3.81,4,2,3,4-6hrs,3,1,4,1,On-Campus,2
25,1,Female,3.63,3,3,3,7-8hrs,3,5,0,1,With Family,3
21,4,Female,3.01,4,4,1,4-6hrs,3,5,1,1,On-Campus,4
18,1,Male,3.14,3,3,5,7-8hrs,5,5,0,3,Off-Campus,3
19,1,Male,3.1,2,3,1,4-6hrs,3,3,4,1,Off-Campus,2
25,1,Male,3.5,1,3,2,1-3hrs,3,5,5,3,Off-Campus,3
19,4,Female,3.57,1,4,3,4-6hrs,3,3,0,1,On-Campus,4
27,1,Female,2.84,1,3,5,4-6hrs,5,3,1,3,Off-Campus,2
21,1,Male,3.17,2,1,2,7-8hrs,3,3,4,3,Off-Campus,1
18,1,Female,3.38,4,1,5,4-6hrs,3,5,1,3,With Family,1
20,1,Female,3.3,3,3,2,4-6hrs,5,3,1,5,Off-Campus,3
26,1,Male,3.31,2,1,4,4-6hrs,5,3,3,3,Off-Campus,1
19,1,Male,3.03,1,1,1,7-8hrs,3,3,0,3,Off-Campus,1
23,1,Male,3.35,2,3,1,7-8hrs,5,3,5,1,Off-Campus,2
21,1,Female,3.05,1,3,2,4-6hrs,3,5,1,3,On-Campus,3
20,2,Female,3.29,4,2,2,7-8hrs,5,5,2,3,Off-Campus,2
25,1,Male,3.47,3,3,2,7-8hrs,3,3,0,5,On-Campus,3
19,5,Male,2.96,5,5,1,7-8hrs,1,3,0,5,With Family,5
26,1,Female,3.98,2,3,4,4-6hrs,1,3,2,5,On-Campus,3
21,1,Male,3.46,5,3,2,7-8hrs,3,3,3,1,On-Campus,3
19,2,Male,3.39,1,2,4,4-6hrs,3,1,5,5,On-Campus,2
28,2,Female,3.72,2,2,3,4-6hrs,3,1,4,3,On-Campus,2
29,1,Female,3.57,1,1,4,7-8hrs,3,3,4,5,With Family,1
22,1,Male,3.37,4,3,3,7-8hrs,1,3,2,3,With Family,2
29,2,Male,3.32,4,2,2,1-3hrs,3,3,1,1,Off-Campus,2
21,2,Female,3.31,3,2,1,4-6hrs,5,1,3,3,On-Campus,2
18,1,Female,3.52,4,3,4,4-6hrs,1,3,0,3,On-Campus,3
19,1,Male,3.36,1,3,3,7-8hrs,3,5,4,1,With Family,2
18,4,Male,3.69,1,4,1,7-8hrs,3,5,1,3,Off-Campus,4
18,1,Female,3.27,2,1,3,7-8hrs,5,5,4,1,On-Campus,1
21,1,Female,3.45,4,3,1,7-8hrs,3,5,0,3,With Family,3
22,1,Female,3.66,1,1,1,4-6hrs,3,1,1,1,Off-Campus,1
24,4,Female,4,5,4,2,7-8hrs,3,3,3,3,With Family,4
22,4,Male,3.62,4,4,2,7-8hrs,3,3,4,1,Off-Campus,4
21,1,Male,3.11,1,3,3,4-6hrs,3,3,4,3,Off-Campus,3
20,1,Male,2.98,3,3,1,4-6hrs,3,3,2,1,Off-Campus,2
31,1,Male,3.73,4,3,1,7-8hrs,3,3,4,3,On-Campus,2
24,1,Female,4,4,3,5,4-6hrs,3,3,3,5,With Family,3
23,4,Male,3.37,3,4,3,1-3hrs,5,3,3,1,With Family,4
22,1,Male,3.4,1,1,3,4-6hrs,5,3,2,1,Off-Campus,1
25,4,Male,3.61,4,4,1,1-3hrs,3,5,0,3,Off-Campus,4
34,4,Female,3.61,2,4,1,4-6hrs,3,5,0,1,Off-Campus,4
22,1,Male,3.77,4,3,3,7-8hrs,3,5,3,3,On-Campus,2
24,1,Female,3.48,1,1,4,7-8hrs,3,3,2,3,With Family,1
22,5,Male,3.55,4,5,1,4-6hrs,3,5,2,1,On-Campus,5
20,5,Male,3.36,2,5,1,4-6hrs,3,5,0,3,On-Campus,5
29,5,Female,3.08,2,5,1,4-6hrs,3,5,4,1,On-Campus,5
21,4,Female,3.63,4,4,5,4-6hrs,1,3,5,1,On-Campus,4
